name,datetime,block_ix,trial_ix,sound_x,sound_y,reversed,category,similarity,notes,repeat
maggie,2016-10-24 13:15:26.249000,1,10,483,524,1,glass,5,None,0
maggie,2016-10-24 13:15:26.249000,1,22,329,383,0,glass,4,None,0
maggie,2016-10-24 13:15:26.249000,1,23,199,368,0,glass,5,None,0
maggie,2016-10-24 13:15:26.249000,1,27,405,480,1,glass,5,None,0
maggie,2016-10-24 13:15:26.249000,1,29,317,405,1,glass,6,None,0
maggie,2016-10-24 13:15:26.249000,1,30,498,513,1,glass,4,None,0
maggie,2016-10-24 13:15:26.249000,1,35,256,358,0,glass,4,None,0
maggie,2016-10-24 13:15:26.249000,1,56,143,188,0,glass,2,None,0
maggie,2016-10-24 13:15:26.249000,1,58,475,538,0,glass,6,None,0
maggie,2016-10-24 13:15:26.249000,1,72,378,404,1,glass,1,None,0
maggie,2016-10-24 13:15:26.249000,1,80,148,192,0,glass,1,None,0
maggie,2016-10-24 13:15:26.249000,2,115,301,361,0,glass,5,None,0
maggie,2016-10-24 13:15:26.249000,2,121,270,293,0,glass,2,None,0
maggie,2016-10-24 13:15:26.249000,2,124,178,365,1,glass,6,None,0
maggie,2016-10-24 13:15:26.249000,2,126,159,178,1,glass,5,None,0
maggie,2016-10-24 13:15:26.249000,2,139,452,509,0,glass,6,None,0
maggie,2016-10-24 13:15:26.249000,2,142,496,502,0,glass,6,None,0
maggie,2016-10-24 13:15:26.249000,3,195,383,457,1,glass,4,None,0
maggie,2016-10-24 13:15:26.249000,3,196,245,286,0,glass,4,None,0
maggie,2016-10-24 13:15:26.249000,3,200,341,416,1,glass,3,None,0
maggie,2016-10-24 13:15:26.249000,3,208,144,186,0,glass,7,None,0
maggie,2016-10-24 13:15:26.249000,3,217,172,301,0,glass,6,None,0
maggie,2016-10-25 12:42:21.056000,1,1,62,181,1,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,1,2,155,254,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,1,3,100,155,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,1,8,407,447,0,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,1,10,71,197,0,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,1,15,417,454,0,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,1,16,91,163,0,tear,2,None,0
maggie,2016-10-25 12:42:21.056000,1,22,482,500,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,1,24,408,482,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,1,26,59,175,0,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,1,26,59,175,0,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,1,27,110,176,0,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,1,28,238,302,1,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,1,28,238,302,1,tear,7,None,0
maggie,2016-10-25 12:42:21.056000,1,29,185,238,0,tear,7,None,0
maggie,2016-10-25 12:42:21.056000,1,30,413,433,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,1,31,486,537,0,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,1,44,382,439,1,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,1,45,349,382,0,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,1,50,189,260,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,1,51,225,269,0,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,1,52,450,530,0,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,1,54,269,320,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,1,56,370,472,0,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,1,57,304,370,1,tear,3,None,0
maggie,2016-10-25 12:42:21.056000,1,61,135,222,1,tear,2,None,0
maggie,2016-10-25 12:42:21.056000,1,67,394,458,1,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,1,67,394,458,1,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,1,67,394,458,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,1,77,167,287,1,tear,2,None,0
maggie,2016-10-25 12:42:21.056000,2,96,176,282,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,2,121,398,467,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,2,124,510,560,0,tear,3,None,0
maggie,2016-10-25 12:42:21.056000,2,125,439,527,1,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,2,126,280,316,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,2,127,114,189,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,2,129,243,328,0,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,2,131,503,522,0,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,2,131,503,522,0,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,2,132,367,503,0,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,2,132,367,503,0,tear,-1,first sound had extraneous noise in beginning,0
maggie,2016-10-25 12:42:21.056000,2,133,535,559,0,tear,7,None,0
maggie,2016-10-25 12:42:21.056000,2,136,196,243,0,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,2,138,447,519,0,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,2,139,54,167,0,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,2,139,54,167,0,tear,-1,second sound had little extraneous noise in beginning,0
maggie,2016-10-25 12:42:21.056000,2,140,335,420,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,2,141,302,390,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,2,142,390,444,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,2,143,467,490,0,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,2,144,458,507,1,tear,7,None,0
maggie,2016-10-25 12:42:21.056000,3,147,298,436,1,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,3,151,339,398,0,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,3,151,339,398,0,tear,-1,thumping noises in second sound,0
maggie,2016-10-25 12:42:21.056000,3,152,271,296,1,tear,7,None,0
maggie,2016-10-25 12:42:21.056000,3,156,436,481,0,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,3,157,145,196,0,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,3,162,248,339,0,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,3,167,481,495,0,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,3,170,51,216,0,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,3,171,530,567,0,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,3,171,530,567,0,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,3,171,530,567,0,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,3,175,373,450,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,3,179,140,225,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,3,188,319,385,0,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,3,189,376,424,0,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,3,197,204,206,1,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,3,197,204,206,1,tear,3,None,0
maggie,2016-10-25 12:42:21.056000,3,201,138,217,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,3,206,444,543,1,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,3,206,444,543,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,3,219,472,510,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,4,222,308,394,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,4,223,250,308,0,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,4,224,181,250,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,4,225,98,211,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,4,227,211,233,1,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,4,229,292,304,0,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,4,233,222,292,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,4,235,507,552,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,4,236,216,248,0,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,4,236,216,248,0,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,4,238,206,280,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,4,240,316,376,1,tear,7,None,0
maggie,2016-10-25 12:42:21.056000,4,243,328,373,1,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,4,243,328,373,1,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,4,245,424,535,1,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,4,245,424,535,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,4,248,260,346,0,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,4,254,269,319,0,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,4,256,175,229,0,tear,-1,None,1
maggie,2016-10-25 12:42:21.056000,4,256,175,229,0,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,4,257,229,349,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,4,266,217,268,0,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,4,267,268,335,0,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,4,268,420,486,0,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,4,269,86,185,0,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,4,270,356,413,1,tear,3,None,0
maggie,2016-10-25 12:42:21.056000,4,271,282,356,1,tear,3,None,0
maggie,2016-10-25 12:42:21.056000,4,272,346,417,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,4,273,354,367,1,tear,-1,extra noise in beginning of first sound,0
maggie,2016-10-25 12:42:21.056000,4,274,254,354,0,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,4,285,320,408,1,tear,4,None,0
maggie,2016-10-25 12:42:21.056000,4,288,287,298,1,tear,5,None,0
maggie,2016-10-25 12:42:21.056000,4,297,197,271,0,tear,6,None,0
maggie,2016-10-25 12:42:21.056000,4,298,296,407,0,tear,6,None,0
