name,datetime,block_ix,trial_ix,sound_x,sound_y,reversed,category,similarity,notes,repeat
hailey,2016-10-25 15:19:19.395000,1,36,274,359,1,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,1,36,274,359,1,water,4,None,0
hailey,2016-10-25 15:19:19.395000,1,37,234,274,1,water,5,None,0
hailey,2016-10-25 15:19:19.395000,1,38,228,272,1,water,6,None,0
hailey,2016-10-25 15:19:19.395000,1,39,95,228,0,water,6,None,0
hailey,2016-10-25 15:19:19.395000,1,40,403,455,1,water,7,None,0
hailey,2016-10-25 15:19:19.395000,1,41,88,179,0,water,5,None,0
hailey,2016-10-25 15:19:19.395000,1,42,369,421,0,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,1,42,369,421,0,water,6,None,0
hailey,2016-10-25 15:19:19.395000,1,43,264,310,1,water,5,None,0
hailey,2016-10-25 15:19:19.395000,1,46,58,200,0,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,1,46,58,200,0,water,4,None,0
hailey,2016-10-25 15:19:19.395000,1,47,220,536,1,water,5,None,0
hailey,2016-10-25 15:19:19.395000,1,54,476,534,1,water,7,None,0
hailey,2016-10-25 15:19:19.395000,1,55,381,476,1,water,6,None,0
hailey,2016-10-25 15:19:19.395000,1,56,312,381,1,water,6,None,0
hailey,2016-10-25 15:19:19.395000,1,57,184,312,1,water,7,None,0
hailey,2016-10-25 15:19:19.395000,1,58,52,183,0,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,1,58,52,183,0,water,2,None,0
hailey,2016-10-25 15:19:19.395000,1,60,161,300,0,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,1,60,161,300,0,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,1,60,161,300,0,water,4,None,0
hailey,2016-10-25 15:19:19.395000,1,61,153,161,0,water,6,None,0
hailey,2016-10-25 15:19:19.395000,1,63,165,327,1,water,6,None,0
hailey,2016-10-25 15:19:19.395000,1,64,50,165,0,water,6,None,0
hailey,2016-10-25 15:19:19.395000,1,65,501,506,1,water,6,None,0
hailey,2016-10-25 15:19:19.395000,2,94,340,363,1,water,6,None,0
hailey,2016-10-25 15:19:19.395000,2,95,112,173,1,water,3,None,0
hailey,2016-10-25 15:19:19.395000,2,106,441,465,1,water,3,None,0
hailey,2016-10-25 15:19:19.395000,2,112,492,515,0,water,5,None,0
hailey,2016-10-25 15:19:19.395000,2,115,231,315,1,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,2,115,231,315,1,water,3,None,0
hailey,2016-10-25 15:19:19.395000,2,127,414,487,1,water,7,None,0
hailey,2016-10-25 15:19:19.395000,2,128,240,267,0,water,4,None,0
hailey,2016-10-25 15:19:19.395000,2,129,372,448,0,water,1,None,0
hailey,2016-10-25 15:19:19.395000,2,130,246,343,1,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,2,130,246,343,1,water,3,None,0
hailey,2016-10-25 15:19:19.395000,2,133,267,289,0,water,4,None,0
hailey,2016-10-25 15:19:19.395000,2,136,397,497,1,water,6,None,0
hailey,2016-10-25 15:19:19.395000,2,138,73,234,0,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,2,138,73,234,0,water,6,None,0
hailey,2016-10-25 15:19:19.395000,2,140,224,249,1,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,2,140,224,249,1,water,3,None,0
hailey,2016-10-25 15:19:19.395000,2,141,209,253,0,water,7,None,0
hailey,2016-10-25 15:19:19.395000,2,142,303,353,1,water,6,None,0
hailey,2016-10-25 15:19:19.395000,2,143,353,459,1,water,7,None,0
hailey,2016-10-25 15:19:19.395000,3,151,300,386,1,water,6,None,0
hailey,2016-10-25 15:19:19.395000,3,152,363,501,0,water,6,None,0
hailey,2016-10-25 15:19:19.395000,3,154,386,492,0,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,3,154,386,492,0,water,2,None,0
hailey,2016-10-25 15:19:19.395000,3,161,279,414,0,water,7,None,0
hailey,2016-10-25 15:19:19.395000,3,163,364,555,0,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,3,163,364,555,0,water,7,None,0
hailey,2016-10-25 15:19:19.395000,3,168,347,466,1,water,6,None,0
hailey,2016-10-25 15:19:19.395000,3,169,285,351,1,water,1,None,0
hailey,2016-10-25 15:19:19.395000,3,171,351,485,1,water,5,None,0
hailey,2016-10-25 15:19:19.395000,3,172,459,564,0,water,6,None,0
hailey,2016-10-25 15:19:19.395000,3,177,253,326,0,water,5,None,0
hailey,2016-10-25 15:19:19.395000,3,179,92,184,0,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,3,179,92,184,0,water,3,None,0
hailey,2016-10-25 15:19:19.395000,3,180,504,531,1,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,3,180,504,531,1,water,1,None,0
hailey,2016-10-25 15:19:19.395000,3,181,375,504,1,water,5,None,0
hailey,2016-10-25 15:19:19.395000,3,182,295,375,0,water,6,None,0
hailey,2016-10-25 15:19:19.395000,3,183,173,295,0,water,7,None,0
hailey,2016-10-25 15:19:19.395000,3,184,183,337,0,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,3,184,183,337,0,water,3,None,0
hailey,2016-10-25 15:19:19.395000,3,185,343,372,1,water,6,None,0
hailey,2016-10-25 15:19:19.395000,3,186,179,291,0,water,5,None,0
hailey,2016-10-25 15:19:19.395000,3,188,291,403,1,water,6,None,0
hailey,2016-10-25 15:19:19.395000,3,191,272,347,1,water,7,None,0
hailey,2016-10-25 15:19:19.395000,3,192,137,231,1,water,4,None,0
hailey,2016-10-25 15:19:19.395000,3,193,246,340,1,water,5,None,0
hailey,2016-10-25 15:19:19.395000,4,235,115,264,1,water,2,None,0
hailey,2016-10-25 15:19:19.395000,4,237,310,369,1,water,-1,None,1
hailey,2016-10-25 15:19:19.395000,4,237,310,369,1,water,4,None,0
hailey,2016-10-25 15:19:19.395000,4,239,249,303,1,water,5,None,0
hailey,2016-10-25 15:19:19.395000,4,241,485,563,0,water,6,None,0
hailey,2016-10-25 15:19:19.395000,4,244,64,258,0,water,5,None,0
hailey,2016-10-25 15:19:19.395000,4,245,289,397,1,water,7,None,0
hailey,2016-10-25 15:19:19.395000,4,246,359,479,0,water,6,None,0
hailey,2017-03-02 16:36:37.819000,2,58,327,441,1,water,5,None,0
hailey,2017-03-02 16:36:37.819000,2,96,200,285,1,water,5,None,0
hailey,2017-03-02 16:36:37.819000,2,100,258,279,1,water,3,None,0
hailey,2017-03-02 16:36:37.819000,3,129,315,364,1,water,4,None,0
hailey,2017-03-02 16:36:37.819000,3,137,536,541,1,water,6,None,0
hailey,2017-03-02 16:36:37.819000,3,149,465,511,1,water,5,None,0
hailey,2017-03-02 16:36:37.819000,4,194,410,442,0,water,2,None,0
hailey,2017-03-02 16:36:37.819000,4,195,337,410,1,water,1,None,0
hailey,2017-03-02 16:36:37.819000,4,229,214,246,1,water,3,None,0
hailey,2017-03-02 16:39:52.309000,1,31,411,491,1,glass,4,None,0
hailey,2017-03-02 16:39:52.309000,1,33,491,549,0,glass,4,None,0
hailey,2017-03-02 16:39:52.309000,1,39,116,307,1,glass,6,None,0
hailey,2017-03-02 16:39:52.309000,1,41,307,348,1,glass,6,None,0
hailey,2017-03-02 16:39:52.309000,1,44,215,226,0,glass,4,None,0
hailey,2017-03-02 16:39:52.309000,1,46,336,445,1,glass,1,None,0
hailey,2017-03-02 16:39:52.309000,1,47,438,489,0,glass,6,None,0
hailey,2017-03-02 16:39:52.309000,1,55,423,460,0,glass,5,None,0
hailey,2017-03-02 16:39:52.309000,2,57,549,556,1,glass,3,None,0
hailey,2017-03-02 16:39:52.309000,2,61,72,256,0,glass,1,None,0
hailey,2017-03-02 16:39:52.309000,2,65,429,483,1,glass,2,None,0
hailey,2017-03-02 16:39:52.309000,2,66,61,263,0,glass,1,None,0
hailey,2017-03-02 16:39:52.309000,2,68,348,449,1,glass,3,None,0
hailey,2017-03-02 16:39:52.309000,2,70,235,379,0,glass,6,None,0
hailey,2017-03-02 16:39:52.309000,2,74,379,406,0,glass,3,None,0
hailey,2017-03-02 16:39:52.309000,2,75,406,496,1,glass,5,None,0
hailey,2017-03-02 16:39:52.309000,2,78,496,502,0,glass,5,None,0
hailey,2017-03-02 16:39:52.309000,2,86,226,355,0,glass,4,None,0
hailey,2017-03-02 16:39:52.309000,2,87,266,388,0,glass,2,None,0
hailey,2017-03-02 16:39:52.309000,2,88,321,427,1,glass,5,None,0
hailey,2017-03-02 16:39:52.309000,2,90,178,365,1,glass,6,None,0
hailey,2017-03-02 16:39:52.309000,2,91,365,429,0,glass,6,None,0
hailey,2017-03-02 16:39:52.309000,2,93,263,324,0,glass,6,None,0
hailey,2017-03-16 16:09:31.094000,3,212,483,524,0,glass,6,None,0
hailey,2017-03-16 16:09:31.094000,3,213,449,475,1,glass,3,None,0
hailey,2017-03-16 16:09:31.094000,3,214,475,538,0,glass,5,None,0
hailey,2017-03-16 16:09:31.094000,3,215,159,178,1,glass,6,None,0
hailey,2017-03-16 16:09:31.094000,3,216,111,305,0,glass,6,None,0
hailey,2017-03-16 16:09:31.094000,3,217,136,199,1,glass,7,None,0
hailey,2017-03-16 16:09:31.094000,3,218,199,368,0,glass,4,None,0
hailey,2017-03-16 16:09:31.094000,3,219,361,423,0,glass,6,None,0
hailey,2017-03-16 16:09:31.094000,3,220,172,301,1,glass,3,None,0
hailey,2017-03-16 16:09:31.094000,3,221,301,361,0,glass,4,None,0
hailey,2017-03-16 16:09:31.094000,3,222,460,554,0,glass,4,None,0
hailey,2017-03-16 16:09:31.094000,3,223,87,266,1,glass,4,None,0
hailey,2017-03-16 16:09:31.094000,3,224,464,520,0,glass,6,None,0
hailey,2017-03-16 16:09:31.094000,3,225,210,232,1,glass,5,None,0
hailey,2017-03-16 16:09:31.094000,3,226,368,438,0,glass,2,None,0
hailey,2017-03-16 16:09:31.094000,3,227,396,464,0,glass,5,None,0
hailey,2017-03-16 16:09:31.094000,3,228,427,471,0,glass,3,None,0
hailey,2017-03-16 16:09:31.094000,3,229,87,266,1,glass,3,None,0
hailey,2017-03-16 16:09:31.094000,3,230,277,314,1,glass,2,None,0
hailey,2017-03-16 16:09:31.094000,3,231,256,358,0,glass,5,None,0
hailey,2017-03-16 16:09:31.094000,3,232,358,411,0,glass,1,None,0
hailey,2017-03-16 16:09:31.094000,3,233,63,251,0,glass,2,None,0
hailey,2017-03-16 16:09:31.094000,3,234,101,284,0,glass,5,None,0
hailey,2017-03-16 16:09:31.094000,3,235,284,321,1,glass,5,None,0
hailey,2017-03-16 16:09:31.094000,3,236,388,396,1,glass,1,None,0
hailey,2017-03-16 16:09:31.094000,3,237,471,533,1,glass,7,None,0
hailey,2017-03-16 16:09:31.094000,3,238,56,235,1,glass,6,None,0
hailey,2017-03-16 16:09:31.094000,3,239,277,314,0,glass,-1,None,1
hailey,2017-03-16 16:09:31.094000,3,239,277,314,0,glass,-1,second sound is not a voice,0
hailey,2017-03-16 16:09:31.094000,3,240,314,336,1,glass,-1,second sound was not a voice again,0
